Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Motion_Detected
53,2022-04-19 19:42:33.176788,-31.07052796930213,93.81977731296737,35.0269,29.3098,1005.9001,False
54,2022-04-19 19:42:37.205895,-30.890249258345463,94.0217075956748,34.9914,29.3588,1005.8848,False
55,2022-04-19 19:42:41.234203,-30.70963060271698,94.22278443188544,35.0269,29.1293,1005.8777,True
56,2022-04-19 19:42:45.305474,-30.526679894650446,94.42521767889482,34.9203,29.4628,1005.8689,False
57,2022-04-19 19:42:49.332983,-30.345338179407154,94.62465839371863,35.0625,29.3863,1005.8794,False
58,2022-04-19 19:42:53.404827,-30.16168332577384,94.82543220530269,34.9914,29.218,1005.8823,False
59,2022-04-19 19:42:57.435346,-29.97949084138301,95.02342188050666,35.0269,29.2088,1005.8728,False
60,2022-04-19 19:43:01.463608,-29.7970459418863,95.2205209247312,34.9736,29.3282,1005.8691,False
61,2022-04-19 19:43:05.529153,-29.61250997994934,95.41871136006534,34.9736,29.3037,1005.8635,False
62,2022-04-19 19:43:09.557595,-29.42939587552524,95.6142317814505,35.0625,29.2853,1005.8635,False
63,2022-04-19 19:43:13.587464,-29.245826543749693,95.80911297716462,35.0625,29.2639,1005.8818,False
64,2022-04-19 19:43:17.616205,-29.06196839380801,96.00318861915255,35.0269,29.2915,1005.865,False
65,2022-04-19 19:43:21.644371,-28.877799645172455,96.1964931971792,35.0981,29.218,1005.8748,False
66,2022-04-19 19:43:25.716112,-28.691294959300844,96.39114576414418,34.9736,29.3068,1005.8792,False
67,2022-04-19 19:43:29.744105,-28.506469388981202,96.58296665958,34.9558,29.1813,1005.8679,False
68,2022-04-19 19:43:33.772565,-28.321275459889847,96.77410863793331,34.9914,29.2058,1005.8962,False
69,2022-04-19 19:43:37.836938,-28.134092382781454,96.9662405066185,34.9914,29.4781,1005.8638,False
70,2022-04-19 19:43:41.863475,-27.948363291531216,97.15583947195067,35.0803,29.3282,1005.8616,False
71,2022-04-19 19:43:45.933502,-27.760293254307406,97.34678801051426,35.0092,29.3588,1005.8945,False
72,2022-04-19 19:43:50.005962,-27.571838309182905,97.53709330603982,35.1336,29.2517,1005.8711,False
73,2022-04-19 19:43:54.035175,-27.38503808311303,97.72472151725944,35.0803,29.3098,1005.8528,True
74,2022-04-19 19:43:58.063428,-27.197983776012016,97.91161625489543,35.0981,29.2639,1005.8567,False
75,2022-04-19 19:44:02.082647,-27.010945953333625,98.09752004637846,35.0269,29.319,1005.8757,False
76,2022-04-19 19:44:06.149074,-26.821534748012116,98.28480459992448,35.0269,29.3741,1005.8679,False
77,2022-04-19 19:44:10.177528,-26.633600416027576,98.46967045654078,35.0803,29.472,1005.8809,False
78,2022-04-19 19:44:14.206349,-26.445317098751023,98.6539365543477,35.0625,29.2364,1005.8579,False
79,2022-04-19 19:44:18.236250,-26.25669067282275,98.83760598926256,35.1336,29.3741,1005.8547,False
80,2022-04-19 19:44:22.266268,-26.06777444014326,99.02063604004555,35.0625,29.1935,1005.8567,False
81,2022-04-19 19:44:26.294258,-25.87866497084288,99.20294329836676,35.0447,29.2578,1005.8584,True
82,2022-04-19 19:44:30.366098,-25.687212657030148,99.38659544859608,35.1514,29.1538,1005.8521,False
83,2022-04-19 19:44:34.394445,-25.497534508353823,99.56765260985622,35.0625,28.4715,1005.8628,False
84,2022-04-19 19:44:38.422974,-25.307578702442825,99.74809712585433,35.0981,29.3037,1005.8472,False
85,2022-04-19 19:44:42.487524,-25.115585656140922,99.92959759996366,35.0447,29.3373,1005.8674,True
86,2022-04-19 19:44:46.515497,-24.925153719263662,100.10876200414543,35.0625,29.4475,1005.8938,False
87,2022-04-19 19:44:50.543768,-24.734393983081322,100.28738855603666,35.0447,29.4444,1005.8787,False
88,2022-04-19 19:44:54.612244,-24.541426797374037,100.46723317441865,35.0269,29.3282,1005.8652,False
89,2022-04-19 19:44:58.685768,-24.348029778490798,100.64663441205136,34.9736,29.319,1005.8555,False
90,2022-04-19 19:45:02.712694,-24.156519578508536,100.82346515383989,35.0447,29.2945,1005.8499,False
91,2022-04-19 19:45:06.786265,-23.9626079654721,101.00169398484037,35.0269,29.2486,1005.8555,False
92,2022-04-19 19:45:10.815470,-23.770520905615697,101.17744510945329,35.1158,29.4353,1005.8684,False
93,2022-04-19 19:45:14.843471,-23.578238926008215,101.35258826338367,35.1158,29.4995,1005.895,False
94,2022-04-19 19:45:18.910521,-23.38381185177899,101.52889724183375,35.0092,29.3159,1005.8752,False
95,2022-04-19 19:45:22.937002,-23.19111624582856,101.70286580790103,35.0447,29.5638,1005.8879,False
96,2022-04-19 19:45:26.964939,-22.99815570511727,101.87631652828118,35.1692,29.27,1005.8867,False
97,2022-04-19 19:45:30.993270,-22.804908247230323,102.04927714642504,35.0981,29.5576,1005.8508,False
98,2022-04-19 19:45:35.022649,-22.611368861960987,102.22175989547989,34.9736,29.4108,1005.884,False
99,2022-04-19 19:45:39.093590,-22.415550517083744,102.39553203536893,35.1158,29.5944,1005.8674,False
100,2022-04-19 19:45:43.158515,-22.21983880560961,102.56847532768597,35.187,29.4934,1005.8728,True
101,2022-04-19 19:45:47.187045,-22.025694738356034,102.73931897204643,35.0625,29.1691,1005.876,False
102,2022-04-19 19:45:51.215307,-21.831304789798004,102.90967676669698,35.0803,29.3465,1005.8809,False
103,2022-04-19 19:45:55.243238,-21.636704656563545,103.07952543951808,35.0269,29.3557,1005.8384,False
104,2022-04-19 19:45:59.315374,-21.43975443548921,103.25072955193117,35.0625,29.2425,1005.8555,False
105,2022-04-19 19:46:03.343429,-21.244702350784415,103.41960417855029,35.0269,29.2976,1005.8586,False
106,2022-04-19 19:46:07.408691,-21.04762059474834,103.5895596478147,35.0447,29.2853,1005.8845,False
107,2022-04-19 19:46:11.436728,-20.852209608849993,103.75741309999692,35.0981,29.4659,1005.863,False
108,2022-04-19 19:46:15.465921,-20.656493600798928,103.9248785692509,35.1514,29.3557,1005.8433,False
109,2022-04-19 19:46:19.495124,-20.460598044420788,104.09185608942148,35.0803,29.2884,1005.8713,False
110,2022-04-19 19:46:23.523290,-20.264496278473747,104.25837619690674,35.0981,29.1997,1005.8735,False
111,2022-04-19 19:46:27.588468,-20.06637273705864,104.42597951946733,35.0269,29.3649,1005.8794,False
112,2022-04-19 19:46:31.616792,-19.869940159379958,104.59153323528358,35.0269,29.2394,1005.8579,False
113,2022-04-19 19:46:35.646787,-19.673188242753685,104.7567475417033,35.0447,29.4353,1005.855,True
114,2022-04-19 19:46:39.676354,-19.47626615252019,104.92150421694886,34.9914,29.3373,1005.8809,False
115,2022-04-19 19:46:43.704483,-19.279224650441563,105.08576867002165,34.9914,29.2394,1005.8738,False
116,2022-04-19 19:46:47.732591,-19.08199758579022,105.24960377878803,35.0625,29.3832,1005.8823,True
117,2022-04-19 19:46:51.804510,-18.882435744877693,105.41479283139972,35.1158,29.2241,1005.8525,False
118,2022-04-19 19:46:55.832011,-18.68485032144239,105.57777462483158,34.9736,29.423,1005.8672,False
119,2022-04-19 19:46:59.896964,-18.485249415652333,105.74185078960667,35.0625,29.3863,1005.8535,False
120,2022-04-19 19:47:03.926446,-18.287282293886403,105.90402873266842,34.9558,29.4689,1005.8828,False
121,2022-04-19 19:47:07.955658,-18.089097975863282,106.06583944646309,34.9736,29.2792,1005.875,False
122,2022-04-19 19:47:11.988356,-17.890570781237425,106.22739182039079,35.0625,29.5393,1005.8706,False
123,2022-04-19 19:47:16.017449,-17.692036392363846,106.38841976561451,35.0625,29.3343,1005.865,False
124,2022-04-19 19:47:20.043987,-17.49346427643819,106.54895626932253,35.1692,29.5362,1005.8857,True
125,2022-04-19 19:47:24.114933,-17.292546963258946,106.71086586463625,35.1158,29.4597,1005.8586,False
126,2022-04-19 19:47:28.142692,-17.093642688969215,106.87064347299875,35.0447,29.0283,1005.8386,False
127,2022-04-19 19:47:32.210942,-16.892486506409917,107.03172250303922,35.0092,29.2639,1005.8796,False
128,2022-04-19 19:47:36.284448,-16.691004508244387,107.19255914585409,35.0092,29.1935,1005.9009,False
129,2022-04-19 19:47:40.313728,-16.491511337677338,107.3513200234686,35.0447,29.218,1005.8535,False
130,2022-04-19 19:47:44.382088,-16.289871903345244,107.51130346729144,35.0269,29.4689,1005.8723,False
131,2022-04-19 19:47:48.446088,-16.08834576837611,107.67071741678846,35.0625,29.3373,1005.8882,False
132,2022-04-19 19:47:52.474731,-15.88846523143247,107.82836390863076,35.0981,29.3465,1005.8843,False
133,2022-04-19 19:47:56.503957,-15.688366896108128,107.98572534349142,34.9736,29.2088,1005.8752,False
134,2022-04-19 19:48:00.533227,-15.488118993650978,108.14275446318844,35.1336,29.3679,1005.864,False
135,2022-04-19 19:48:04.562553,-15.287725705840641,108.29945458697861,35.1336,29.3924,1005.8481,False
136,2022-04-19 19:48:08.635201,-15.084987374054638,108.45754515449222,35.1158,29.3373,1005.8618,True
137,2022-04-19 19:48:12.663539,-14.884406542289637,108.61352209840183,35.1514,29.1568,1005.8857,False
138,2022-04-19 19:48:16.735564,-14.68146424653286,108.77090639302742,35.0981,29.1109,1005.8384,False
